phase,sourceOffsetHex,targetAddress,targetSize
POPULACAO_MENOS_1,0x04CC,0x0F190020,1024
POPULACAO_MENOS_1,0x04F8,0x0ED10C68,1024
POPULACAO_MENOS_1,0x04FC,0x0ED50020,1024
POPULACAO_MENOS_1,0x0500,0x00480048,1024
POPULACAO_MENOS_1,0x0520,0x0ED129B8,1024
POPULACAO_MENOS_1,0x0538,0x01341020,1024
POPULACAO_MENOS_1,0x0544,0x050B1070,1024
POPULACAO_MENOS_1,0x054C,0x01230004,1024
POPULACAO_MENOS_1,0x0558,0x0ED110A4,1024
POPULACAO_MENOS_1,0x0560,0x01340004,1024
POPULACAO_MENOS_1,0x0568,0x0ED11090,1024
POPULACAO_MENOS_1,0x056C,0x0ED110B8,1024
