timestampUtc,session,playerBase,playerState,food,wood,stone,gold,populationCurrent,populationAvailable,populationCapacity,villagerCount,nonVillagerCount
2026-07-27T21:01:51.4587798Z,1,0x01292690,0x0F737D20,1200,605,1000,1000,7,1,8,6,1
2026-07-27T21:01:51.9690582Z,1,0x01292690,0x0F737D20,1200,605,1000,1000,7,1,8,6,1
2026-07-27T21:01:52.4838687Z,1,0x01292690,0x0F737D20,1200,605,1000,1000,7,1,8,6,1
2026-07-27T21:01:52.9852809Z,1,0x01292690,0x0F737D20,1200,605,1000,1000,7,1,8,6,1
2026-07-27T21:01:53.5000552Z,1,0x01292690,0x0F737D20,1200,605,1000,1000,7,1,8,6,1
2026-07-27T21:01:54.0147913Z,1,0x01292690,0x0F737D20,1200,605,1000,1000,7,1,8,6,1
2026-07-27T21:01:54.5299213Z,1,0x01292690,0x0F737D20,1200,605,1000,1000,7,1,8,6,1
2026-07-27T21:01:55.0437161Z,1,0x01292690,0x0F737D20,1200,605,1000,1000,7,1,8,6,1
2026-07-27T21:01:55.5582635Z,1,0x01292690,0x0F737D20,1200,605,1000,1000,7,1,8,6,1
2026-07-27T21:01:56.0733301Z,1,0x01292690,0x0F737D20,1200,605,1000,1000,7,1,8,6,1
