timestampUtc,session,playerBase,playerState,food,wood,stone,gold,populationCurrent,populationCapacity,villagerCount,militaryCount
2026-07-27T20:51:26.5762258Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:51:27.0950284Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:51:27.6067423Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:51:28.1222347Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:51:28.6362499Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:51:29.1528363Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:51:29.6698187Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:51:30.1841900Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:51:30.6991366Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:51:31.2117286Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:51:31.7270106Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:51:32.2423727Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:51:32.7551330Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:51:33.2560825Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:51:33.7722715Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:51:34.2863640Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:51:34.7880265Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:51:35.3005821Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:51:42.9953025Z,1,0x01292690,0x0F737D20,300,250,0,0,3,1,3,0
2026-07-27T20:51:43.5105802Z,1,0x01292690,0x0F737D20,300,250,0,0,3,1,3,0
2026-07-27T20:51:44.0219681Z,1,0x01292690,0x0F737D20,300,250,0,0,3,1,3,0
2026-07-27T20:51:44.5356251Z,1,0x01292690,0x0F737D20,300,250,0,0,3,1,3,0
2026-07-27T20:51:45.0373580Z,1,0x01292690,0x0F737D20,300,250,0,0,3,1,3,0
