timestampUtc,session,playerBase,playerState,food,wood,stone,gold,populationCurrent,populationAvailable,populationCapacity,villagerCount,nonVillagerCount
2026-07-27T21:02:17.8852504Z,1,0x0B842B98,0x0F737440,300,250,0,0,3,1,4,3,0
2026-07-27T21:02:18.4060067Z,1,0x0B842B98,0x0F737440,300,250,0,0,3,1,4,3,0
2026-07-27T21:02:18.9199966Z,1,0x0B842B98,0x0F737440,300,250,0,0,3,1,4,3,0
2026-07-27T21:02:19.4320859Z,1,0x0B842B98,0x0F737440,300,250,0,0,3,1,4,3,0
2026-07-27T21:02:19.9454864Z,1,0x0B842B98,0x0F737440,300,250,0,0,3,1,4,3,0
2026-07-27T21:02:20.4592227Z,1,0x0B842B98,0x0F737440,300,250,0,0,3,1,4,3,0
2026-07-27T21:02:20.9715770Z,1,0x0B842B98,0x0F737440,300,250,0,0,3,1,4,3,0
2026-07-27T21:02:21.4849202Z,1,0x0B842B98,0x0F737440,300,250,0,0,3,1,4,3,0
2026-07-27T21:02:21.9980950Z,1,0x0B842B98,0x0F737440,300,250,0,0,3,1,4,3,0
2026-07-27T21:02:22.5113683Z,1,0x0B842B98,0x0F737440,300,250,0,0,3,1,4,3,0
2026-07-27T21:02:23.0128297Z,1,0x0B842B98,0x0F737440,300,250,0,0,3,1,4,3,0
2026-07-27T21:02:23.5288885Z,1,0x0B842B98,0x0F737440,300,250,0,0,3,1,4,3,0
2026-07-27T21:02:24.0454113Z,1,0x0B842B98,0x0F737440,300,250,0,0,3,1,4,3,0
2026-07-27T21:02:24.5504208Z,1,0x0B842B98,0x0F737440,300,250,0,0,3,1,4,3,0
2026-07-27T21:02:25.0652218Z,1,0x0B842B98,0x0F737440,300,250,0,0,3,1,4,3,0
2026-07-27T21:02:25.5797134Z,1,0x0B842B98,0x0F737440,300,250,0,0,3,1,4,3,0
2026-07-27T21:02:26.0943100Z,1,0x0B842B98,0x0F737440,300,250,0,0,3,1,4,3,0
2026-07-27T21:02:26.6109152Z,1,0x0B842B98,0x0F737440,300,250,0,0,3,1,4,3,0
2026-07-27T21:02:27.1248998Z,1,0x0B842B98,0x0F737440,300,250,0,0,3,1,4,3,0
2026-07-27T21:02:27.6411338Z,1,0x0B842B98,0x0F737440,300,250,0,0,3,1,4,3,0
2026-07-27T21:02:28.1547172Z,1,0x0B842B98,0x0F737440,300,250,0,0,3,1,4,3,0
2026-07-27T21:02:28.6677872Z,1,0x0B842B98,0x0F737440,300,250,0,0,3,1,4,3,0
2026-07-27T21:02:29.1704346Z,1,0x0B842B98,0x0F737440,300,250,0,0,3,1,4,3,0
2026-07-27T21:02:29.6849188Z,1,0x0B842B98,0x0F737440,300,1250,0,0,3,1,4,3,0
2026-07-27T21:02:30.1998450Z,1,0x0B842B98,0x0F737440,300,1250,0,0,3,1,4,3,0
2026-07-27T21:02:30.7139260Z,1,0x0B842B98,0x0F737440,300,1250,0,0,3,1,4,3,0
2026-07-27T21:02:31.2274853Z,1,0x0B842B98,0x0F737440,300,1250,0,0,3,1,4,3,0
2026-07-27T21:02:31.7355815Z,1,0x0B842B98,0x0F737440,300,1250,0,0,3,1,4,3,0
2026-07-27T21:02:32.2499207Z,1,0x0B842B98,0x0F737440,300,1250,0,0,3,1,4,3,0
2026-07-27T21:02:32.7606216Z,1,0x0B842B98,0x0F737440,300,1250,0,0,3,1,4,3,0
2026-07-27T21:02:33.2741417Z,1,0x0B842B98,0x0F737440,1300,1250,0,0,3,1,4,3,0
2026-07-27T21:02:33.7869791Z,1,0x0B842B98,0x0F737440,1300,1250,0,0,3,1,4,3,0
2026-07-27T21:02:34.2883049Z,1,0x0B842B98,0x0F737440,1300,1250,0,0,3,1,4,3,0
2026-07-27T21:02:34.8041000Z,1,0x0B842B98,0x0F737440,1300,1250,0,0,3,1,4,3,0
2026-07-27T21:02:35.3189971Z,1,0x0B842B98,0x0F737440,1300,1250,0,1000,3,1,4,3,0
2026-07-27T21:02:35.8320272Z,1,0x0B842B98,0x0F737440,1300,1250,0,1000,3,1,4,3,0
2026-07-27T21:02:36.3443030Z,1,0x0B842B98,0x0F737440,1300,1250,0,1000,3,1,4,3,0
2026-07-27T21:02:36.8584811Z,1,0x0B842B98,0x0F737440,1300,1250,0,1000,3,1,4,3,0
2026-07-27T21:02:37.3703848Z,1,0x0B842B98,0x0F737440,1300,1250,0,1000,3,1,4,3,0
2026-07-27T21:02:37.8856382Z,1,0x0B842B98,0x0F737440,1300,1250,1000,1000,3,1,4,3,0
