timestampUtc,session,playerBase,playerState,food,wood,stone,gold,populationCurrent,populationCapacity,villagerCount,militaryCount
2026-07-27T20:50:20.4915086Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:50:21.0167937Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:50:21.5311568Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:50:22.0471647Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:50:22.5617979Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:50:23.0755142Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:50:23.5933624Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:50:24.1054821Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:50:24.6203415Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:50:25.1227428Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:50:25.6364548Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:50:26.1525842Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:50:26.6679688Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:50:27.1811052Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:50:27.6934303Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:50:28.2076591Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:50:28.7196592Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:50:29.2333400Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:50:29.7489870Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:50:30.2628715Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:50:30.7781647Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:50:31.2928705Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:50:31.8030953Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:50:32.3172492Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:50:32.8331199Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:50:33.3434103Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:50:33.8583372Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:50:34.3721751Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
2026-07-27T20:50:34.8887207Z,1,0x015501B0,0x0F737440,300,198.5291,0,0,3,1,3,0
